,param,value,evaluation
0,10,0.9701720230293337,valid f1
1,15,0.9701834600968695,valid f1
2,20,0.9692456620788507,valid f1
3,25,0.9694545852599582,valid f1
4,30,0.9707628922533562,valid f1
5,35,0.9703692056939844,valid f1
6,40,0.971133770556231,valid f1
7,45,0.9717225912344053,valid f1
8,50,0.9707628922533562,valid f1
9,55,0.9717225912344053,valid f1
10,60,0.9707628922533562,valid f1
11,65,0.9717225912344053,valid f1
12,70,0.9717225912344053,valid f1
13,75,0.9717225912344053,valid f1
14,80,0.9717225912344053,valid f1
15,85,0.9717225912344053,valid f1
16,90,0.9717225912344053,valid f1
17,95,0.9717225912344053,valid f1
18,100,0.9717225912344053,valid f1
19,105,0.9717225912344053,valid f1
20,110,0.9717225912344053,valid f1
21,115,0.9717225912344053,valid f1
22,120,0.9717225912344053,valid f1
23,125,0.9717225912344053,valid f1
24,130,0.9717225912344053,valid f1
25,135,0.9717225912344053,valid f1
26,140,0.9717225912344053,valid f1
27,145,0.9717225912344053,valid f1
28,150,0.9717225912344053,valid f1
29,155,0.9717225912344053,valid f1
30,160,0.9717225912344053,valid f1
31,165,0.9717225912344053,valid f1
32,170,0.9717225912344053,valid f1
33,175,0.9717225912344053,valid f1
34,180,0.9717225912344053,valid f1
35,185,0.9717225912344053,valid f1
36,190,0.9717225912344053,valid f1
37,195,0.9717225912344053,valid f1
38,200,0.9717225912344053,valid f1
39,205,0.9717225912344053,valid f1
40,210,0.9717225912344053,valid f1
41,215,0.9717225912344053,valid f1
42,220,0.9717225912344053,valid f1
43,225,0.9717225912344053,valid f1
44,230,0.9717225912344053,valid f1
45,235,0.9717225912344053,valid f1
46,240,0.9717225912344053,valid f1
47,245,0.9713289046750336,valid f1
48,250,0.9713289046750336,valid f1
49,255,0.9717225912344053,valid f1
50,260,0.9717225912344053,valid f1
51,265,0.9717225912344053,valid f1
52,270,0.9717225912344053,valid f1
53,275,0.9717225912344053,valid f1
54,280,0.9717225912344053,valid f1
55,285,0.9717225912344053,valid f1
56,290,0.9717225912344053,valid f1
57,295,0.9717225912344053,valid f1
58,300,0.9717225912344053,valid f1
0,10,0.9753940792003076,valid recall
1,15,0.9757785467128027,valid recall
2,20,0.9753940792003076,valid recall
3,25,0.9761630142252979,valid recall
4,30,0.9765474817377932,valid recall
5,35,0.9757785467128027,valid recall
6,40,0.9765474817377932,valid recall
7,45,0.9777008842752787,valid recall
8,50,0.9765474817377932,valid recall
9,55,0.9777008842752787,valid recall
10,60,0.9765474817377932,valid recall
11,65,0.9777008842752787,valid recall
12,70,0.9777008842752787,valid recall
13,75,0.9777008842752787,valid recall
14,80,0.9777008842752787,valid recall
15,85,0.9777008842752787,valid recall
16,90,0.9777008842752787,valid recall
17,95,0.9777008842752787,valid recall
18,100,0.9777008842752787,valid recall
19,105,0.9777008842752787,valid recall
20,110,0.9777008842752787,valid recall
21,115,0.9777008842752787,valid recall
22,120,0.9777008842752787,valid recall
23,125,0.9777008842752787,valid recall
24,130,0.9777008842752787,valid recall
25,135,0.9777008842752787,valid recall
26,140,0.9777008842752787,valid recall
27,145,0.9777008842752787,valid recall
28,150,0.9777008842752787,valid recall
29,155,0.9777008842752787,valid recall
30,160,0.9777008842752787,valid recall
31,165,0.9777008842752787,valid recall
32,170,0.9777008842752787,valid recall
33,175,0.9777008842752787,valid recall
34,180,0.9777008842752787,valid recall
35,185,0.9777008842752787,valid recall
36,190,0.9777008842752787,valid recall
37,195,0.9777008842752787,valid recall
38,200,0.9777008842752787,valid recall
39,205,0.9777008842752787,valid recall
40,210,0.9777008842752787,valid recall
41,215,0.9777008842752787,valid recall
42,220,0.9777008842752787,valid recall
43,225,0.9777008842752787,valid recall
44,230,0.9777008842752787,valid recall
45,235,0.9777008842752787,valid recall
46,240,0.9777008842752787,valid recall
47,245,0.9769319492502883,valid recall
48,250,0.9769319492502883,valid recall
49,255,0.9777008842752787,valid recall
50,260,0.9777008842752787,valid recall
51,265,0.9777008842752787,valid recall
52,270,0.9777008842752787,valid recall
53,275,0.9777008842752787,valid recall
54,280,0.9777008842752787,valid recall
55,285,0.9777008842752787,valid recall
56,290,0.9777008842752787,valid recall
57,295,0.9777008842752787,valid recall
58,300,0.9777008842752787,valid recall
0,10,0.9739220992679943,train f1
1,15,0.9744367050595147,train f1
2,20,0.9743489019085146,train f1
3,25,0.9743589040829005,train f1
4,30,0.9744558724796054,train f1
5,35,0.9745434567007055,train f1
6,40,0.9745432844999046,train f1
7,45,0.9746414004811111,train f1
8,50,0.9745533671281388,train f1
9,55,0.9746414004811111,train f1
10,60,0.9745533671281388,train f1
11,65,0.9746414004811111,train f1
12,70,0.9746414004811111,train f1
13,75,0.9746414004811111,train f1
14,80,0.9746414004811111,train f1
15,85,0.9746414004811111,train f1
16,90,0.9746414004811111,train f1
17,95,0.9746414004811111,train f1
18,100,0.9746414004811111,train f1
19,105,0.9746414004811111,train f1
20,110,0.9746414004811111,train f1
21,115,0.9746414004811111,train f1
22,120,0.9746414004811111,train f1
23,125,0.9746414004811111,train f1
24,130,0.9746414004811111,train f1
25,135,0.9746414004811111,train f1
26,140,0.9746414004811111,train f1
27,145,0.9746414004811111,train f1
28,150,0.9746414004811111,train f1
29,155,0.9746414004811111,train f1
30,160,0.9746414004811111,train f1
31,165,0.9746414004811111,train f1
32,170,0.9746414004811111,train f1
33,175,0.9746414004811111,train f1
34,180,0.9746414004811111,train f1
35,185,0.9746414004811111,train f1
36,190,0.9746414004811111,train f1
37,195,0.9746414004811111,train f1
38,200,0.9746414004811111,train f1
39,205,0.9746414004811111,train f1
40,210,0.9746414004811111,train f1
41,215,0.9746414004811111,train f1
42,220,0.9746414004811111,train f1
43,225,0.9746414004811111,train f1
44,230,0.9746414004811111,train f1
45,235,0.9746414004811111,train f1
46,240,0.9746414004811111,train f1
47,245,0.974631490053678,train f1
48,250,0.974631490053678,train f1
49,255,0.9746414004811111,train f1
50,260,0.9746414004811111,train f1
51,265,0.9746414004811111,train f1
52,270,0.9746414004811111,train f1
53,275,0.9746414004811111,train f1
54,280,0.9746414004811111,train f1
55,285,0.9746414004811111,train f1
56,290,0.9746414004811111,train f1
57,295,0.9746414004811111,train f1
58,300,0.9746414004811111,train f1
0,10,0.98000768935025,train recall
1,15,0.9819300269127259,train recall
2,20,0.9821222606689735,train recall
3,25,0.9825067281814687,train recall
4,30,0.9826989619377162,train recall
5,35,0.9825067281814687,train recall
6,40,0.9825067281814687,train recall
7,45,0.9826989619377162,train recall
8,50,0.9828911956939638,train recall
9,55,0.9826989619377162,train recall
10,60,0.9828911956939638,train recall
11,65,0.9826989619377162,train recall
12,70,0.9826989619377162,train recall
13,75,0.9826989619377162,train recall
14,80,0.9826989619377162,train recall
15,85,0.9826989619377162,train recall
16,90,0.9826989619377162,train recall
17,95,0.9826989619377162,train recall
18,100,0.9826989619377162,train recall
19,105,0.9826989619377162,train recall
20,110,0.9826989619377162,train recall
21,115,0.9826989619377162,train recall
22,120,0.9826989619377162,train recall
23,125,0.9826989619377162,train recall
24,130,0.9826989619377162,train recall
25,135,0.9826989619377162,train recall
26,140,0.9826989619377162,train recall
27,145,0.9826989619377162,train recall
28,150,0.9826989619377162,train recall
29,155,0.9826989619377162,train recall
30,160,0.9826989619377162,train recall
31,165,0.9826989619377162,train recall
32,170,0.9826989619377162,train recall
33,175,0.9826989619377162,train recall
34,180,0.9826989619377162,train recall
35,185,0.9826989619377162,train recall
36,190,0.9826989619377162,train recall
37,195,0.9826989619377162,train recall
38,200,0.9826989619377162,train recall
39,205,0.9826989619377162,train recall
40,210,0.9826989619377162,train recall
41,215,0.9826989619377162,train recall
42,220,0.9826989619377162,train recall
43,225,0.9826989619377162,train recall
44,230,0.9826989619377162,train recall
45,235,0.9826989619377162,train recall
46,240,0.9826989619377162,train recall
47,245,0.982314494425221,train recall
48,250,0.982314494425221,train recall
49,255,0.9826989619377162,train recall
50,260,0.9826989619377162,train recall
51,265,0.9826989619377162,train recall
52,270,0.9826989619377162,train recall
53,275,0.9826989619377162,train recall
54,280,0.9826989619377162,train recall
55,285,0.9826989619377162,train recall
56,290,0.9826989619377162,train recall
57,295,0.9826989619377162,train recall
58,300,0.9826989619377162,train recall
